description,poster_link,rating,title
"The true story of Forrest Tucker, from his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public. Wrapped up in the pursuit…",,63.0,The Old Man & the Gun
"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and…",,77.0,Spider-Man: Far from Home
"When John Rambo's niece travels to Mexico to find the father that abandoned her and her mother, she finds herself in the grasps of Calle Mexican sex traffickers. When she doesn't return home as expected, John learns…",,63.0,Rambo: Last Blood
"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,76.0,Toy Story 4
"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/zfE0R94v1E8cuKAerbskfD3VfUt.jpg,70,It Chapter Two
"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,71.0,John Wick: Chapter 3 – Parabellum
A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,https://image.tmdb.org/t/p/w185_and_h278_bestv2/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg,64.0,Hustlers
"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/jpfkzbIXgKZqCZAkEkFH2VYF63s.jpg,67.0,Cars
"A spinoff of The Fate of the Furious, focusing on Johnson's US Diplomatic Security Agent Luke Hobbs forming an unlikely alliance with Statham's Deckard Shaw.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/keym7MPn1icW1wWfzMnW3HeuzWU.jpg,65.0,Fast & Furious Presents: Hobbs & Shaw
A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make…,https://image.tmdb.org/t/p/w185_and_h278_bestv2/3iYQTLGoy7QnjcUYRJy4YrAgGvp.jpg,71.0,Aladdin
"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/lbGzEyESjANpOeD48aROlc3X7aa.jpg,66.0,Joker
An astronaut travels to the outer edges of the solar system to find his father and unravel a mystery that threatens the survival of our planet. He uncovers secrets which challenge the nature of human existence and…,https://image.tmdb.org/t/p/w185_and_h278_bestv2/fpe0eG2TBLJLQiqlhhvaWIfixXz.jpg,63.0,Ad Astra
A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,https://image.tmdb.org/t/p/w185_and_h278_bestv2/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,76.0,Once Upon a Time in Hollywood
"In 1988, Philadelphia police officer Thomas ""Locke"" Lockhart, hungry to become a detective, begins tracking a serial killer whose crimes defy scientific explanation. When the killer mysteriously resurfaces nine…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/5DSVYlKwEzGBxTkS95L73c3oxLs.jpg,60,In the Shadow of the Moon
"Simba idolises his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/2bXbqYdUdNVa8VIWXVfclP2ICtT.jpg,71.0,The Lion King
"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/kZv92eTc0Gg3mKxqjjDAM73z9cy.jpg,61.0,Dark Phoenix
A young couple travels to Sweden to visit their friend’s rural hometown and attend its mid-summer festival. What begins as an idyllic retreat quickly descends into an increasingly violent and bizarre competition…,https://image.tmdb.org/t/p/w185_and_h278_bestv2/rXsh4MI6uyVgZBSSzXCfitJnVPy.jpg,72.0,Midsommar
"While struggling to save her father during a Category 5 hurricane, a young woman finds herself trapped inside a flooding house and fighting for her life against Florida’s most savage and feared predators.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/9kOtMOUa5HrOiIG2Z9Anv7M8AbY.jpg,61.0,Crawl
